Date,Crop,Market,Min_Price(₹/Quintal),Max_Price(₹/Quintal),Modal_Price(₹/Quintal)
2024-06-01,Wheat,Ranchi Mandi,1588,1923,1755
2024-06-01,Rice,Ranchi Mandi,1143,1630,1386
2024-06-01,Maize,Ranchi Mandi,1190,1450,1320
2024-06-01,Bajra,Ranchi Mandi,2380,2644,2512
2024-06-01,Sugarcane,Ranchi Mandi,1352,1593,1472
2024-06-01,Cotton,Ranchi Mandi,1817,2071,1944
2024-06-01,Barley,Ranchi Mandi,2090,2271,2180
2024-06-01,Groundnut,Ranchi Mandi,1057,1431,1244
2024-06-01,Mustard,Ranchi Mandi,1720,2081,1900
2024-06-01,Soybean,Ranchi Mandi,2068,2472,2270
2024-06-01,Pulses,Ranchi Mandi,1281,1728,1504
2024-06-01,Potato,Ranchi Mandi,1748,2019,1883
2024-06-01,Wheat,Dhanbad Mandi,1579,2077,1828
2024-06-01,Rice,Dhanbad Mandi,1246,1657,1451
2024-06-01,Maize,Dhanbad Mandi,1782,2114,1948
2024-06-01,Bajra,Dhanbad Mandi,1928,2209,2068
2024-06-01,Sugarcane,Dhanbad Mandi,1508,1767,1637
2024-06-01,Cotton,Dhanbad Mandi,1832,2079,1955
2024-06-01,Barley,Dhanbad Mandi,1101,1421,1261
2024-06-01,Groundnut,Dhanbad Mandi,1427,1828,1627
2024-06-01,Mustard,Dhanbad Mandi,1127,1442,1284
2024-06-01,Soybean,Dhanbad Mandi,2394,2800,2597
2024-06-01,Pulses,Dhanbad Mandi,1991,2163,2077
2024-06-01,Potato,Dhanbad Mandi,2134,2554,2344
2024-06-01,Wheat,Bokaro Mandi,2166,2318,2242
2024-06-01,Rice,Bokaro Mandi,1158,1336,1247
2024-06-01,Maize,Bokaro Mandi,1765,2032,1898
2024-06-01,Bajra,Bokaro Mandi,2448,2782,2615
2024-06-01,Sugarcane,Bokaro Mandi,2419,2634,2526
2024-06-01,Cotton,Bokaro Mandi,1901,2283,2092
2024-06-01,Barley,Bokaro Mandi,1949,2131,2040
2024-06-01,Groundnut,Bokaro Mandi,2351,2731,2541
2024-06-01,Mustard,Bokaro Mandi,1278,1591,1434
2024-06-01,Soybean,Bokaro Mandi,2008,2304,2156
2024-06-01,Pulses,Bokaro Mandi,1478,1697,1587
2024-06-01,Potato,Bokaro Mandi,2351,2714,2532
2024-06-01,Wheat,Hazaribagh Mandi,1179,1560,1369
2024-06-01,Rice,Hazaribagh Mandi,1207,1541,1374
